gene	deathrate	p.value	q.value	SD	low-confidence interval	upper-confidence interval	tag
YJR088C	-0.00211686	0.042931528	0.06026909	0.000784859	-0.004134404	-9.93E-05	down
FAR1	-0.002113754	0.010400953	0.029064638	0.000529436	-0.003474711	-0.000752796	up
ENT3	-0.002112418	0.024596042	0.045341322	0.000664722	-0.00382114	-0.000403697	down
DON1	-0.002110899	0.014789896	0.034919136	0.000578756	-0.003598638	-0.00062316	down
HAT2	-0.002109344	0.364170705	0.223726781	0.002113925	-0.007543361	0.003324674	up
BUD9	-0.002109106	0.012607088	0.032021048	0.000554786	-0.003535229	-0.000682984	down
SPC3	-0.002107935	0.08547343	0.089497338	0.000985682	-0.00464171	0.00042584	down
DMA1	-0.002101393	0.027055177	0.047246355	0.000679317	-0.003847634	-0.000355153	up
CYC1	-0.002100317	0.006926658	0.023922897	0.000475764	-0.003323308	-0.000877326	up
SGS1	-0.002093188	0.013223285	0.033108472	0.000557417	-0.003526074	-0.000660302	up
YMR166C	-0.002081428	0.013531298	0.033528794	0.0005576	-0.003514783	-0.000648072	down
CAP2	-0.002080992	0.016287525	0.036879669	0.000585244	-0.003585411	-0.000576574	up
YFR007W	-0.002076234	0.004035766	0.018658411	0.000413608	-0.003139447	-0.001013021	up
RPP1B	-0.002074466	0.599838362	0.303711869	0.003706488	-0.011602296	0.007453364	down
ARN2	-0.00207305	0.003456539	0.017419782	0.000398384	-0.003097129	-0.001048971	up
YNL035C	-0.002062847	0.026074952	0.046416445	0.0006599	-0.003759175	-0.00036652	up
SRP40	-0.002052331	0.000454334	0.008145781	0.000252126	-0.002700441	-0.00140422	down
SLM4	-0.002041445	0.006109321	0.022914231	0.000448613	-0.003194642	-0.000888249	up
IDH1	-0.002038935	0.518883676	0.279251	0.002940047	-0.009596568	0.005518697	down
YCR101C	-0.002037303	0.00477579	0.019834393	0.000422205	-0.003122616	-0.00095199	up
